index,school_id,year,category,1,2A(1),2A(2),2B,2C,2C(S),3,Total,sort_id
291,anchor-green,2011,ballot,,,,,,,,,4
292,anchor-green,2011,odds,,,,1,1,0.588235294117647,,,5
293,anchor-green,2011,taken,88,0,0,1,141,40,0,270,3
294,anchor-green,2011,vacancy,0,0,0,91,181,40,0,270,1
295,anchor-green,2012,applied,0,0,0,9,93,0,0,0,2
296,anchor-green,2012,ballot,,,,,,,,,4
297,anchor-green,2012,odds,,,,1,0.881720430107527,,,,5
298,anchor-green,2012,taken,115,0,4,9,82,0,0,210,3
299,anchor-green,2012,vacancy,0,0,0,46,82,0,0,210,1
300,anchor-green,2013,applied,0,0,0,3,90,0,0,0,2
301,anchor-green,2013,ballot,,,,,,,,,4
302,anchor-green,2013,odds,,,,1,0.866666666666667,,,,5
303,anchor-green,2013,taken,125,0,4,3,78,0,0,210,3
304,anchor-green,2013,vacancy,0,0,0,41,78,0,0,210,1
305,anchor-green,2014,applied,0,0,0,5,121,0,0,0,2
306,anchor-green,2014,ballot,,,,,,,,,4
307,anchor-green,2014,odds,,,,1,0.975206611570248,,,,5
308,anchor-green,2014,taken,114,0,4,4,118,0,0,240,3
309,anchor-green,2014,vacancy,0,0,0,61,118,0,0,240,1
310,anchor-green,2015,applied,0,0,0,12,94,45,0,0,2
311,anchor-green,2015,ballot,,,,,,,,,4
312,anchor-green,2015,odds,,,,1,1,1,1,,5
313,anchor-green,2015,taken,72,0,5,12,94,45,0,228,3
314,anchor-green,2015,vacancy,0,0,0,82,151,57,12,240,1
315,anchor-green,2016,applied,0,0,0,0,93,48,0,0,2
316,anchor-green,2016,ballot,,,,,,,,,4
317,anchor-green,2016,odds,,,,1,1,1,1,,5
318,anchor-green,2016,taken,69,0,3,0,92,48,0,212,3
319,anchor-green,2016,vacancy,0,0,0,84,168,76,28,240,1
320,anchor-green,2017,applied,0,0,0,1,69,53,0,0,2
321,anchor-green,2017,ballot,,,,,,,,,4
322,anchor-green,2017,odds,,,,1,1,1,1,,5
323,anchor-green,2017,taken,93,0,6,0,69,53,0,221,3
324,anchor-green,2017,vacancy,0,0,0,71,143,74,21,240,1
325,anchor-green,2018,applied,0,0,0,1,69,99,0,0,2
326,anchor-green,2018,ballot,,,,,,,,,4
327,anchor-green,2018,odds,,,,1,1,1,1,,5
328,anchor-green,2018,taken,100,0,3,0,68,99,0,270,3
329,anchor-green,2018,vacancy,0,0,0,84,169,101,2,270,1
330,anchor-green,2019,applied,84,0,6,1,66,97,0,0,2
331,anchor-green,2019,ballot,,,,,,SC1-2,,,4
332,anchor-green,2019,odds,,,,,,0.876288659793814,,,5
333,anchor-green,2019,taken,84,0,6,1,66,85,0,242,3
334,anchor-green,2019,vacancy,200,116,116,75,151,85,0,240,1
335,anchor-green,2020,applied,108,0,31,1,62,83,0,0,2
336,anchor-green,2020,ballot,,,,,,SC<1,,,4
337,anchor-green,2020,odds,,,,,,0.469879518072289,,,5
338,anchor-green,2020,taken,108,0,31,1,62,39,0,241,3
339,anchor-green,2020,vacancy,200,92,92,51,101,39,0,240,1
340,anchor-green,2021,applied,87,0,59,0,48,77,0,0,2
341,anchor-green,2021,ballot,,,,,,SC<1,,,4
342,anchor-green,2021,odds,,,,,,0.61038961038961,,,5
343,anchor-green,2021,taken,87,0,59,0,48,47,0,241,3
344,anchor-green,2021,vacancy,200,113,113,48,95,47,0,240,1
345,anchor-green,2022,applied,75,46,0,0,24,108,0,0,2
346,anchor-green,2022,ballot,,,,,,SC1-2,,,4
347,anchor-green,2022,odds,,,,,,0.888888888888889,,,5
348,anchor-green,2022,taken,75,46,0,0,24,96,0,241,3
349,anchor-green,2022,vacancy,180,105,0,40,120,96,0,240,1
350,anchor-green,2023,applied,85,30,0,0,36,66,0,0,2
351,anchor-green,2023,ballot,,,,,,,,,4
352,anchor-green,2023,odds,,,,,,,,,5
353,anchor-green,2023,taken,85,30,0,0,36,66,0,217,3
354,anchor-green,2023,vacancy,180,95,0,42,128,93,27,240,1
355,anderson,2009,applied,0,0,0,25,116,0,0,0,2
356,anderson,2009,ballot,,,,,,,,,4
357,anderson,2009,odds,,,,1,0.758620689655172,,,,5
358,anderson,2009,taken,106,0,21,25,88,0,0,240,3
359,anderson,2009,vacancy,0,0,0,57,88,0,0,240,1
360,anderson,2010,applied,0,0,0,29,95,0,0,0,2
361,anderson,2010,ballot,,,,,,,,,4
362,anderson,2010,odds,,,,1,0.631578947368421,,,,5
363,anderson,2010,taken,90,0,31,29,60,0,0,210,3
364,anderson,2010,vacancy,0,0,0,44,60,0,0,210,1
365,anderson,2011,applied,0,0,0,31,96,0,0,0,2
366,anderson,2011,ballot,,,,,,,,,4
367,anderson,2011,odds,,,,1,0.375,,,,5
368,anderson,2011,taken,97,1,48,31,36,0,0,213,3
369,anderson,2011,vacancy,0,0,0,32,36,0,0,210,1
370,anderson,2012,applied,0,0,0,26,67,0,0,0,2
371,anderson,2012,ballot,,,,,,,,,4
372,anderson,2012,odds,,,,1,0.507462686567164,,,,5
373,anderson,2012,taken,98,0,52,26,34,0,0,210,3
374,anderson,2012,vacancy,0,0,0,30,34,0,0,210,1
375,anderson,2013,applied,0,0,0,24,50,0,0,0,2
376,anderson,2013,ballot,,,,,,,,,4
377,anderson,2013,odds,,,,1,0.82,,,,5
378,anderson,2013,taken,92,0,53,24,41,0,0,210,3
379,anderson,2013,vacancy,0,0,0,33,41,0,0,210,1
380,anderson,2014,applied,0,0,0,20,56,0,0,0,2
381,anderson,2014,ballot,,,,,,,,,4
382,anderson,2014,odds,,,,1,0.75,,,,5
383,anderson,2014,taken,94,0,56,18,42,0,0,210,3
384,anderson,2014,vacancy,0,0,0,30,42,0,0,210,1
385,anderson,2015,applied,0,0,0,19,58,0,0,0,2
386,anderson,2015,ballot,,,,,,,,,4
387,anderson,2015,odds,,,,1,0.775862068965517,,,,5
388,anderson,2015,taken,83,2,62,18,45,0,0,210,3
389,anderson,2015,vacancy,0,0,0,32,45,0,0,210,1
390,anderson,2016,applied,0,0,0,19,80,0,0,0,2
391,anderson,2016,ballot,,,,,,,,,4
392,anderson,2016,odds,,,,1,0.9125,,,,5
393,anderson,2016,taken,75,0,45,17,73,0,0,210,3
394,anderson,2016,vacancy,0,0,0,45,73,0,0,210,1
395,anderson,2017,applied,0,0,0,20,58,0,0,0,2
396,anderson,2017,ballot,,,,,,,,,4
397,anderson,2017,odds,,,,1,0.827586206896552,,,,5
398,anderson,2017,taken,85,1,60,16,48,0,0,210,3
399,anderson,2017,vacancy,0,0,0,32,48,0,0,210,1
400,anderson,2018,applied,0,0,0,23,35,0,0,0,2
401,anderson,2018,ballot,,,,,,,,,4
402,anderson,2018,odds,,,,1,0.914285714285714,,,,5
403,anderson,2018,taken,99,1,62,16,32,0,0,210,3
404,anderson,2018,vacancy,0,0,0,24,32,0,0,210,1
405,anderson,2019,applied,86,0,31,26,88,0,0,0,2
406,anderson,2019,ballot,,,,,SC<2#,,,,4
407,anderson,2019,odds,,,,,0.784090909090909,,,,5
408,anderson,2019,taken,86,0,31,26,69,0,0,212,3
409,anderson,2019,vacancy,170,84,84,47,69,0,0,210,1
410,anderson,2020,applied,90,0,61,21,65,0,0,0,2
411,anderson,2020,ballot,,,,,SC1-2,,,,4
412,anderson,2020,odds,,,,,0.584615384615385,,,,5
413,anderson,2020,taken,90,0,61,21,38,0,0,210,3
414,anderson,2020,vacancy,170,80,80,30,38,0,0,210,1
415,anderson,2021,applied,86,1,50,22,75,0,0,0,2
416,anderson,2021,ballot,,,,,SC1-2,,,,4
417,anderson,2021,odds,,,,,0.693333333333333,,,,5
418,anderson,2021,taken,86,1,50,22,52,0,0,211,3
419,anderson,2021,vacancy,170,84,83,37,52,0,0,210,1
420,anderson,2022,applied,91,36,0,21,88,0,0,0,2
421,anderson,2022,ballot,,,,,SC1-2,,,,4
422,anderson,2022,odds,,,,,0.727272727272727,,,,5
423,anderson,2022,taken,91,36,0,21,64,0,0,212,3
424,anderson,2022,vacancy,150,59,0,28,64,0,0,210,1
425,anderson,2023,applied,71,46,0,19,92,0,0,0,2
426,anderson,2023,ballot,,,,,SC1-2,,,,4
427,anderson,2023,odds,,,,,0.804347826086957,,,,5
428,anderson,2023,taken,71,46,0,19,74,0,0,210,3
429,anderson,2023,vacancy,150,79,0,31,74,0,0,210,1
430,ang-mo-kio,2009,applied,0,0,0,2,107,17,0,0,2
431,ang-mo-kio,2009,ballot,,,,,,,,,4
432,ang-mo-kio,2009,odds,,,,1,1,1,1,,5
433,ang-mo-kio,2009,taken,67,1,13,2,107,17,0,207,3
434,ang-mo-kio,2009,vacancy,0,0,0,65,128,21,3,210,1
435,ang-mo-kio,2010,applied,0,0,0,1,77,24,0,0,2
436,ang-mo-kio,2010,ballot,,,,,,,,,4
437,ang-mo-kio,2010,odds,,,,1,1,1,,,5
438,ang-mo-kio,2010,taken,90,0,12,1,77,24,0,204,3
