index,school_id,name,logo_url,area,address,postal_code,website,parent_volunteer,type_sap,type_boys-only,type_girls-only,type_gep,affiliations,logo_url2,moe_url
146,tanjong-katong,Tanjong Katong Primary School,https://sgschooling.com/img/logo/tanjong-katong.jpg,Marine Parade,10 Seraya Road S437259,437259,http://www.tanjongkatongpri.moe.edu.sg/,,false,false,false,false,,Tanjong Katong Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=tanjong-katong-primary-school
175,tao-nan,Tao Nan School,https://sgschooling.com/img/logo/tao-nan.jpg,Marine Parade,49 Marine Crescent S449761,449761,http://www.taonan.moe.edu.sg,"Singapore Hokkein Huay Kuan, 2y membership, 80h ",true,false,false,true,,Tao Nan School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=tao-nan-school
147,teck-ghee,Teck Ghee Primary School,https://sgschooling.com/img/logo/teck-ghee.jpg,Ang Mo Kio,1 Ang Mo Kio Street 32 S569299,569299,http://www.teckgheepri.moe.edu.sg,"40h, apply by Apr",false,false,false,false,,Teck Ghee Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=teck-ghee-primary-school
148,teck-whye,Teck Whye Primary School,https://sgschooling.com/img/logo/teck-whye.jpg,Choa Chu Kang,11 Teck Whye Walk S688261,688261,http://www.teckwhyepri.moe.edu.sg,,false,false,false,false,,Teck Whye Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=teck-whye-primary-school
149,telok-kurau,Telok Kurau Primary School,https://sgschooling.com/img/logo/telok-kurau.jpg,Bedok,50 Bedok Reservoir Rd S479239,479239,http://www.telokkuraupri.moe.edu.sg,,false,false,false,false,,Telok Kurau Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=telok-kurau-primary-school
150,temasek,Temasek Primary School,https://sgschooling.com/img/logo/temasek.jpg,Bedok,501 Bedok South Ave 3 S469300,469300,http://www.temasekpri.moe.edu.sg,,false,false,false,false,,Temasek Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=temasek-primary-school
151,townsville,Townsville Primary School,https://sgschooling.com/img/logo/townsville.jpg,Ang Mo Kio,3 Ang Mo Kio Ave 10 S569730,569730,http://www.townsvillepri.moe.edu.sg/,,false,false,false,false,,Townsville Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=townsville-primary-school
152,unity,Unity Primary School,https://sgschooling.com/img/logo/unity.jpg,Choa Chu Kang,21 Choa Chu Kang Crescent S688268,688268,http://www.unitypri.moe.edu.sg,,false,false,false,false,,Unity Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=unity-primary-school
178,valour,Valour Primary School,https://sgschooling.com/img/logo/valour.jpg,Punggol,49 Punggol Central S828728,828728,http://valourpri.moe.edu.sg,,false,false,false,false,,Valour Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=valour-primary-school
153,waterway,Waterway Primary School,https://sgschooling.com/img/logo/waterway.jpg,Punggol,70 Punggol Drive S828802,828802,https://waterwaypri.moe.edu.sg,,false,false,false,false,,Waterway Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=waterway-primary-school
154,wellington,Wellington Primary School,https://sgschooling.com/img/logo/wellington.jpg,Sembawang,10 Wellington Circle S757702,757702,http://www.wellingtonpri.moe.edu.sg,,false,false,false,false,,Wellington Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=wellington-primary-school
155,west-grove,West Grove Primary School,https://sgschooling.com/img/logo/west-grove.jpg,Jurong West,1 Jurong West St 72 S649223,649223,http://www.westgrovepri.moe.edu.sg/,,false,false,false,false,,West Grove Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=west-grove-primary-school
156,west-spring,West Spring Primary School,https://sgschooling.com/img/logo/west-spring.jpg,Bukit Panjang,60 Bukit Panjang Ring Road S679946,679946,http://www.westspringpri.moe.edu.sg,,false,false,false,false,,West Spring Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=west-spring-primary-school
157,west-view,West View Primary School,https://sgschooling.com/img/logo/west-view.jpg,Bukit Panjang,31 Senja Road S677742,677742,http://www.westviewpri.moe.edu.sg,,false,false,false,false,,West View Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=west-view-primary-school
