index,school_id,year,phase,applied,vacancy,ballot,odds
298,ai-tong,2016,2A(2),0,0,,
299,ai-tong,2016,2B,36,35,,0.972222222222222
300,ai-tong,2016,2C,56,37,,0.660714285714286
301,ai-tong,2016,2C(S),0,0,,
302,ai-tong,2016,3,0,0,,
303,ai-tong,2016,Total,0,330,,1
304,ai-tong,2017,1,0,0,,
305,ai-tong,2017,2A(1),0,0,,
306,ai-tong,2017,2A(2),0,0,,
307,ai-tong,2017,2B,35,29,,0.828571428571429
308,ai-tong,2017,2C,45,33,,0.733333333333333
309,ai-tong,2017,2C(S),0,0,,
310,ai-tong,2017,3,0,0,,
311,ai-tong,2017,Total,0,330,,1
312,ai-tong,2018,1,0,0,,
313,ai-tong,2018,2A(1),0,0,,
314,ai-tong,2018,2A(2),0,0,,
315,ai-tong,2018,2B,28,21,,0.75
316,ai-tong,2018,2C,60,22,,0.366666666666667
317,ai-tong,2018,2C(S),0,0,,
318,ai-tong,2018,3,0,0,,
319,ai-tong,2018,Total,0,330,,1
320,ai-tong,2019,1,121,260,,1
321,ai-tong,2019,2A(1),84,139,,1
322,ai-tong,2019,2A(2),36,55,,1
323,ai-tong,2019,2B,32,31,SC>2,0.96875
324,ai-tong,2019,2C,55,30,SC<1,0.545454545454545
325,ai-tong,2019,2C(S),0,0,,
326,ai-tong,2019,3,0,0,,
327,ai-tong,2019,Total,0,300,,1
328,ai-tong,2020,1,143,260,,1
329,ai-tong,2020,2A(1),110,117,,1
330,ai-tong,2020,2A(2),29,9,SC1-2,0.310344827586207
331,ai-tong,2020,2B,27,20,SC<1,0.740740740740741
332,ai-tong,2020,2C,64,20,SC<1,0.3125
333,ai-tong,2020,2C(S),0,0,,
334,ai-tong,2020,3,0,0,,
335,ai-tong,2020,Total,0,300,,1
336,ai-tong,2021,1,147,260,,1
337,ai-tong,2021,2A(1),113,113,,1
338,ai-tong,2021,2A(2),0,0,,
339,ai-tong,2021,2B,38,20,SC<1,0.526315789473684
340,ai-tong,2021,2C,66,20,SC<1,0.303030303030303
341,ai-tong,2021,2C(S),0,0,,
342,ai-tong,2021,3,0,0,,
343,ai-tong,2021,Total,0,300,,1
344,ai-tong,2022,1,130,240,,1
345,ai-tong,2022,2A(1),146,110,SC>2,0.753424657534247
346,ai-tong,2022,2A(2),0,0,,
347,ai-tong,2022,2B,48,20,SC<1,0.416666666666667
348,ai-tong,2022,2C,86,42,SC<1,0.488372093023256
349,ai-tong,2022,2C(S),0,0,,
350,ai-tong,2022,3,0,0,,
351,ai-tong,2022,Total,0,300,,1
352,ai-tong,2023,1,114,240,,1
353,ai-tong,2023,2A(1),120,126,,1
354,ai-tong,2023,2A(2),0,0,,
355,ai-tong,2023,2B,56,22,SC<1,0.392857142857143
356,ai-tong,2023,2C,78,45,SC<1,0.576923076923077
357,ai-tong,2023,2C(S),0,0,,
358,ai-tong,2023,3,0,0,,
359,ai-tong,2023,Total,0,300,,1
360,alexandra,2013,1,0,0,,
361,alexandra,2013,2A(1),0,0,,
362,alexandra,2013,2A(2),0,0,,
363,alexandra,2013,2B,0,105,,1
364,alexandra,2013,2C,232,210,,0.905172413793103
365,alexandra,2013,2C(S),0,0,,
366,alexandra,2013,3,0,0,,
367,alexandra,2013,Total,0,210,,1
368,alexandra,2014,1,0,0,,
369,alexandra,2014,2A(1),0,0,,
370,alexandra,2014,2A(2),0,0,,
371,alexandra,2014,2B,4,96,,1
372,alexandra,2014,2C,254,187,,0.736220472440945
373,alexandra,2014,2C(S),0,0,,
374,alexandra,2014,3,0,0,,
375,alexandra,2014,Total,0,210,,1
376,alexandra,2015,1,0,0,,
377,alexandra,2015,2A(1),0,0,,
378,alexandra,2015,2A(2),0,0,,
379,alexandra,2015,2B,6,79,,1
380,alexandra,2015,2C,206,151,,0.733009708737864
381,alexandra,2015,2C(S),0,0,,
382,alexandra,2015,3,0,0,,
383,alexandra,2015,Total,0,210,,1
384,alexandra,2016,1,0,0,,
385,alexandra,2016,2A(1),0,0,,
386,alexandra,2016,2A(2),0,0,,
387,alexandra,2016,2B,3,68,,1
388,alexandra,2016,2C,147,132,,0.897959183673469
389,alexandra,2016,2C(S),0,0,,
390,alexandra,2016,3,0,0,,
391,alexandra,2016,Total,0,210,,1
392,alexandra,2017,1,0,0,,
393,alexandra,2017,2A(1),0,0,,
394,alexandra,2017,2A(2),0,0,,
395,alexandra,2017,2B,2,65,,1
396,alexandra,2017,2C,161,127,,0.788819875776398
397,alexandra,2017,2C(S),0,0,,
398,alexandra,2017,3,0,0,,
399,alexandra,2017,Total,0,210,,1
400,alexandra,2018,1,0,0,,
401,alexandra,2018,2A(1),0,0,,
402,alexandra,2018,2A(2),0,0,,
403,alexandra,2018,2B,4,59,,1
404,alexandra,2018,2C,128,113,,0.8828125
405,alexandra,2018,2C(S),0,0,,
406,alexandra,2018,3,0,0,,
407,alexandra,2018,Total,0,210,,1
408,alexandra,2019,1,99,170,,1
409,alexandra,2019,2A(1),1,71,,1
410,alexandra,2019,2A(2),3,70,,1
411,alexandra,2019,2B,6,54,,1
412,alexandra,2019,2C,127,103,SC<1,0.811023622047244
413,alexandra,2019,2C(S),0,0,,
414,alexandra,2019,3,0,0,,
415,alexandra,2019,Total,0,210,,1
416,alexandra,2020,1,103,160,,1
417,alexandra,2020,2A(1),0,57,,1
418,alexandra,2020,2A(2),5,57,,1
419,alexandra,2020,2B,14,47,,1
420,alexandra,2020,2C,132,83,SC<1,0.628787878787879
421,alexandra,2020,2C(S),0,0,,
422,alexandra,2020,3,0,0,,
423,alexandra,2020,Total,0,200,,1
424,alexandra,2021,1,95,160,,1
425,alexandra,2021,2A(1),0,65,,1
426,alexandra,2021,2A(2),10,66,,1
427,alexandra,2021,2B,6,48,,1
428,alexandra,2021,2C,112,91,SC<1,0.8125
429,alexandra,2021,2C(S),0,0,,
430,alexandra,2021,3,0,0,,
431,alexandra,2021,Total,0,200,,1
432,alexandra,2022,1,75,140,,1
433,alexandra,2022,2A(1),9,65,,1
434,alexandra,2022,2A(2),0,0,,
435,alexandra,2022,2B,4,39,,1
436,alexandra,2022,2C,146,113,SC<1#,0.773972602739726
437,alexandra,2022,2C(S),0,0,,
438,alexandra,2022,3,0,0,,
439,alexandra,2022,Total,0,200,,1
440,alexandra,2023,1,57,140,,1
441,alexandra,2023,2A(1),13,83,,1
442,alexandra,2023,2A(2),0,0,,
443,alexandra,2023,2B,4,43,,1
444,alexandra,2023,2C,141,127,SC>2,0.900709219858156
445,alexandra,2023,2C(S),0,0,,
446,alexandra,2023,3,0,0,,
447,alexandra,2023,Total,0,200,,1
448,anchor-green,2009,1,0,0,,
449,anchor-green,2009,2A(1),0,0,,
450,anchor-green,2009,2A(2),0,0,,
451,anchor-green,2009,2B,0,95,,1
452,anchor-green,2009,2C,110,189,,1
453,anchor-green,2009,2C(S),85,79,,0.929411764705882
454,anchor-green,2009,3,0,0,,
455,anchor-green,2009,Total,0,240,,1
456,anchor-green,2010,1,0,0,,
457,anchor-green,2010,2A(1),0,0,,
458,anchor-green,2010,2A(2),0,0,,
